Date,CAT,DE,HON,GE,LMT,NOC,RTX,BA,MMM,ITW,EMR,ETN,PH,GD,UPS,FDX,CMI,DAL,LUV,UNP,NSC,CSX,ROP,ROK,OTIS
2024-07-05,321.00006103515625,353.7914123535156,193.74453735351562,159.0081787109375,443.65472412109375,423.83685302734375,97.4892807006836,184.8300018310547,98.38607025146484,226.26075744628906,106.6466293334961,312.26702880859375,498.0562744140625,274.68682861328125,124.44534301757812,285.856689453125,258.5615539550781,45.18263626098633,26.180173873901367,218.77565002441406,209.0510711669922,32.551910400390625,557.58740234375,257.3826599121094,94.40719604492188
2024-07-08,321.69415283203125,348.8485107421875,193.1876678466797,162.00999450683594,443.270751953125,419.4691162109375,97.22703552246094,185.83999633789062,98.17243957519531,227.0080108642578,107.14350891113281,313.8314514160156,501.278076171875,273.5068359375,123.69694519042969,287.34429931640625,261.4610290527344,45.50662612915039,26.578609466552734,217.0461883544922,207.49185180664062,32.639888763427734,552.6151123046875,258.39630126953125,94.91393280029297
2024-07-09,318.7613220214844,342.7952880859375,192.24746704101562,161.61373901367188,441.869140625,413.1125183105469,98.20804595947266,183.24000549316406,96.80327606201172,227.1536102294922,106.77327728271484,313.5854797363281,501.18939208984375,272.57073974609375,122.55608367919922,284.6218566894531,260.54949951171875,46.036800384521484,26.695226669311523,215.48191833496094,207.0076141357422,31.750337600708008,546.3325805664062,254.62428283691406,93.85174560546875
2024-07-10,321.12713623046875,345.43865966796875,195.79844665527344,164.1598663330078,442.5507507324219,415.5596008300781,97.79039001464844,183.72999572753906,98.7259292602539,228.9490203857422,108.63419342041016,321.8110656738281,515.466064453125,274.9111328125,123.80646514892578,285.1468811035156,265.7957763671875,46.00735092163086,26.850711822509766,218.03721618652344,208.0535430908203,32.18044662475586,548.9031372070312,258.3670654296875,94.39746856689453
2024-07-11,323.7178039550781,355.3341979980469,196.1270751953125,160.68650817871094,441.94598388671875,421.19476318359375,98.800537109375,183.91000366210938,100.24076843261719,233.10272216796875,111.2160873413086,323.53289794921875,520.3825073242188,277.09552001953125,126.17034149169922,291.2432556152344,271.56573486328125,44.1713752746582,26.209325790405273,222.22483825683594,213.9708251953125,32.982032775878906,551.7515258789062,267.2853698730469,96.70695495605469
2024-07-12,328.0779724121094,358.99951171875,196.36439514160156,157.79867553710938,445.161865234375,421.4092712402344,98.37315368652344,182.30999755859375,101.02731323242188,238.67333984375,111.64476013183594,325.166259765625,529.9791259765625,276.8419494628906,129.92147827148438,290.7376403808594,276.2398681640625,42.82630157470703,26.7535343170166,223.68223571777344,214.36788940429688,33.030906677246094,554.1832275390625,276.17437744140625,97.6521987915039
2024-07-15,338.0300598144531,365.2297058105469,196.9212646484375,158.34446716308594,445.30584716796875,421.0972900390625,98.70341491699219,179.11000061035156,99.74552917480469,239.4497528076172,113.9636001586914,321.7716979980469,536.7184448242188,278.333984375,131.56431579589844,296.5714416503906,280.18670654296875,42.217586517333984,26.928455352783203,229.2883758544922,220.57569885253906,33.82270812988281,554.9474487304688,277.9775390625,96.90186309814453
2024-07-16,352.508544921875,370.968505859375,199.43161010742188,161.6094207763672,449.817626953125,424.2561340332031,100.70428466796875,186.0500030517578,100.31844329833984,246.01028442382812,115.81477355957031,327.1144104003906,560.305908203125,284.3507995605469,134.46669006347656,304.83599853515625,290.36895751953125,45.18263626098633,27.900251388549805,236.15757751464844,227.38394165039062,34.53631591796875,562.8078002929688,286.9153137207031,97.07726287841797
2024-07-17,349.790771484375,378.4564514160156,201.01998901367188,155.4665985107422,457.0077819824219,429.1405944824219,101.97667694091797,184.83999633789062,101.60993194580078,246.3984832763672,115.210693359375,306.4914245605469,549.7240600585938,284.7408447265625,134.5123291015625,301.83160400390625,286.1700134277344,44.92736053466797,27.521249771118164,236.9640350341797,227.05467224121094,34.65361785888672,566.9763793945312,280.57012939453125,96.40486907958984
2024-07-18,348.0604553222656,374.0442810058594,198.70132446289062,157.580322265625,456.9405822753906,428.59454345703125,100.85968780517578,180.22999572753906,101.00788116455078,241.93421936035156,113.5446548461914,304.1004943847656,539.6052856445312,285.98907470703125,132.12107849121094,298.1271057128906,289.2052917480469,44.1026496887207,26.63691520690918,236.10903930664062,223.11306762695312,34.233272552490234,566.8968505859375,265.56011962890625,96.19049072265625
2024-07-19,339.8484191894531,371.50897216796875,195.90797424316406,157.9177703857422,455.9037780761719,426.9664306640625,99.85924530029297,179.6699981689453,100.91078186035156,235.46102905273438,112.70674896240234,306.87518310546875,536.6298217773438,281.064453125,132.50439453125,297.8257141113281,282.33953857421875,44.61318588256836,26.41340446472168,235.43862915039062,220.75970458984375,33.91069030761719,563.0460815429688,262.9285583496094,95.23550415039062
2024-07-22,341.4681091308594,372.6783142089844,198.0623321533203,161.5200958251953,455.5870056152344,427.1224365234375,100.79169464111328,178.89999389648438,101.93038940429688,238.14927673339844,114.80149841308594,315.1695861816406,543.98974609375,283.9801940917969,132.50439453125,298.9147033691406,283.40625,43.03248596191406,26.879867553710938,236.3616485595703,220.83717346191406,33.7347297668457,572.2166137695312,268.74737548828125,96.93109893798828
